name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Koko,1a Camden High Street; Camden Town; London NW1 7JE,London,1A Camden High St,Camden,https://www.koko.co.uk/,,E09000007,Regent's Park,E05013668,51.53461699938541,-0.1383379998411256,529218.6936999997,183387.80299999937
Lafayette London,"11 Goods Way, Kings Cross, London N1C 4DP",Kings Cross,11 Goods Way,Camden,What’s On - Lafayette London,,E09000007,King's Cross,E05013666,51.53461299916719,-0.1250759994436424,530138.4643999999,183410.8401999995
The Old Blue Last,38 Great Eastern Street,Hackney,38 Great Eastern S,Hackney,www.theoldbluelast.com,,E09000012,Hoxton East & Shoreditch,E05009377,51.52387020952032,-0.07849246136510524,533400.5328000002,182300.0848999992
Troy Bar,10 Hoxton St; Hoxton; London N1 6NG; United Kingdo,Hackney,10 Hoxton Street,Hackney,www.troybar.co.uk,10008242403,E09000012,Hoxton East & Shoreditch,E05009377,51.52763099910315,-0.08012900036213853,533276.0302999998,182715.30760000087
Amersham Arms,388 New Cross Road; New Cross; London SE14 6TY; Un,,,Lewisham,https://www.theamershamarms.net,,E09000023,Deptford,E05013719,51.47542799923417,-0.030463999320619998,536877.2225000001,177001.9531999994
Blues Kitchen Camden (The),111-113 Camden High Street,Camden,111-113 Camden Hig,Camden,www.theblueskitchen.com/camden,5082330,E09000007,Regent's Park,E05013668,51.53656608951107,-0.13966635063227217,529121.0552000003,183602.20109999925
The Boogaloo,312 Archway Road,,312 Archway Road,Haringey,,100000000000,E09000014,Highgate,E05013592,51.57587097911655,-0.14214635713678345,528838.0290000001,187968.64350000024
The Camden Assembly Pub,49 Chalk Farm Road,Camden,49 Chalk Farm Road,Camden,www.camdenassembly.com,5020249,E09000007,Haverstock,E05013660,51.54279999958394,-0.14769866338196397,528546.4544000002,184281.28959999979
Windmill Brixton,22 Blenheim Gardens,Lambeth,22 Blenheim Garden,Lewisham,www.windmillbrixton.co.uk,100000000000,E09000023,Perry Vale,E05013729,51.44100356945282,-0.04861428434721683,535718.8201000001,173140.2313000001
Oval Space,29-32 The Oval; Bethnal Green; London  E2 9DT; Uni,Tower Hamlets,29-32 The Oval,Tower Hamlets,www.ovalspace.co.uk/about/the-venues/oval-space,6155537,E09000030,St Peter's,E05009331,51.533154999537715,-0.0592619994679834,534707.1107000001,183367.83049999923
O2 Shepherd's Bush Empire,211 Shepherd's Bush Grn,London,211 Shepherd's Bus,Hammersmith and Fulham,www.academymusicgroup.com/o2shepherdsbushempire,34030760,E09000013,Addison,E05013733,51.50384999943523,-0.21981299958892153,523651.4145999998,179825.81980000064
Folklore,"186 Hackney Rd, London, E2 7QL",Tower Hamlets,186 Hackney Road,Tower Hamlets,https://www.folklorehoxton.com,6005502,E09000030,Weavers,E05009335,51.530508999415254,-0.07276800042882307,533778.1725000003,183048.78500000015
Royal Vauxhall Tavern,372 Kennington Lane; Oval; London SE11 5HY; United,Lambeth,372 Kennington Lan,Lambeth,www.vauxhalltavern.com,100000000000,E09000022,Oval,E05014108,51.484868999074756,-0.11520900020558254,530965.2779000001,177896.85060000047
Grow,98C Wallis Road; Main Yard; London E9 5LN,,,Hackney,www.grow-hackney.squarespace.com,,E09000012,Hackney Wick,E05009374,51.54416099946595,-0.023632999774581234,537145.0637999997,184657.82809999958
The Garage,20-26 Highbury Corner,Islington,20-26 Highbury Cor,Islington,www.thegarage.london,10008978416,E09000019,Highbury,E05013704,51.54619999941413,-0.10213081238959866,531696.3293000003,184740.37209999934
Biddle Bros,"88 Lower Clapton,  London, E5 0QR",Hackney,88 Lower Clapton R,Hackney,,100000000000,E09000012,Springfield,E05009383,51.571494999818555,-0.06616700055158418,534115.5807999996,187618.6311000008
Boom Boom Club,Sutton United Football Club The Borough Sports Gro,Gander Green Ln,Sutton United Foot,Sutton,www.feenstra.co.uk/boomboom,0,E09000029,Sutton West & East Cheam,E05013768,51.367086289134946,-0.2027941405701397,525205.5173000004,164646.37570000067
St. Moritz Club,159 Wardour Street; W1F 8WH,Wardour Street,159 Wardour St,Westminster,www.stmoritzclub.co.uk,10033622399,E09000033,West End,E05013808,51.51446699955465,-0.1350259997331405,529505.5273000002,181152.94969999976
Grace (The)/Garage (The),20-22 Highbury Corner Highbury East,,20-22 Highbury Cor,Islington,www.thegrace.london,,E09000019,Highbury,E05013704,51.546240029271885,-0.10241761024931523,531676.3288000003,184744.30700000003
Moth Club,"Valette Street, London, Hackney, E9 6NU",Hackney,Hackney Trades Hal,Hackney,www.mothclub.co.uk,,E09000012,Homerton,E05009376,51.545250999207745,-0.05464999997308038,534991.2127999999,184721.4416000005
Union Chapel,"Union Chapel, Compton Terrace, London N1 2UN",Islington,19a Compton Terrac,Islington,www.unionchapel.org.uk,10008975865,E09000019,Laycock,E05013708,51.544764999251875,-0.10248100019974957,531676.1908999998,184580.16569999978
Redon,"Arch 289, Cambridge Heath Road, London, E2 9HA, UK",,,Tower Hamlets,,,E09000030,St Peter's,E05009331,51.53211399914905,-0.05722999950799593,534851.1135,183255.8125
Scala,275 Pentonville Road,London,275 Pentonville Rd,Camden,www.scala.co.uk,0,E09000007,King's Cross,E05013666,51.53018459954608,-0.11904751957717451,530569.2220000001,182929.1275999993
93 Feet East,"The Old Truman Brewery, 150 Brick Lane; Shoreditch",London,150 Brick Ln Shore,Tower Hamlets,www.93feeteast.co.uk,,E09000030,Spitalfields & Banglatown,E05009333,51.52170599964574,-0.07228899942633298,533837.1993000004,182070.7514999993
Ain't Nothin' But...,20 Kingly Street,Soho,20 Kingly Street,Westminster,http://www.aintnothinbut.co.uk/,100000000000,E09000033,West End,E05013808,51.5124721890884,-0.13795289625100787,529308.0963000003,180925.95370000042
Vortex Jazz Club,11 Gillett Square; De Beauvoir; London N16 8JH; Un,Hackney,11 Gillett Square,Hackney,https://www.vortexjazz.co.uk/,10091818908,E09000012,Dalston,E05009370,51.54931999984673,-0.07651700010620052,533463.1452000001,185133.78529999964
100 Club,"100 Oxford Street, London, W1D 1LL",City Of Westminster,100 Oxford Street,Westminster,www.the100club.co.uk,10033540054,E09000033,West End,E05013808,51.51621499941813,-0.13533299968691723,529479.2710999995,181346.7865999993
Dingwalls,Middle Yard; Camden Town; London NW1 8AB; United K,London,Middle Yard Camden,Camden,www.dingwalls.com,,E09000007,Camden Town,E05013655,51.5413569990936,-0.14608600010437073,528662.3457000004,184123.6579
Green Note,"106 Parkway, Camden, London NW1 7AN",Camden,106 Parkway,Camden,www.greennote.co.uk,5124523,E09000007,Camden Town,E05013655,51.537252999805794,-0.14581299998970693,528692.8477999996,183667.76740000024
Oslo Hackney,"1a Amhurst Road, Hackney, London,  E8 1LL",,1A Amhurst Rd,Hackney,www.oslohackney.com,10008289187,E09000012,Hackney Central,E05009372,51.547981999422184,-0.057520000244416856,534784.1613999996,185019.84050000086
Servant Jazz Quarters,"10a Bradbury Street , Dalston, N16 8JH",Hackney,10 Bradbury Street,Hackney,www.servantjazzquarters.com,10008302207,E09000012,Dalston,E05009370,51.548641999400715,-0.07672200058766804,533450.9128,185058.01620000042
Sebright Arms,34 Coate Street; Bethnal Green; London E2 9AG; Uni,Tower Hamlets,31-35 Coate Street,Tower Hamlets,www.sebrightarms.co.uk,6021840,E09000030,St Peter's,E05009331,51.53209099955758,-0.06305700009099402,534447.0469000004,183242.52339999937
Village Underground,54 Holywell Lane; Shoreditch; London EC2A 3PQ; Uni,Hackney,54 Holywell Lane,Hackney,www.villageunderground.co.uk,10091784233,E09000012,Hoxton East & Shoreditch,E05009377,51.523787999630414,-0.07803399996860505,533432.5756999999,182291.77910000086
229 The Venue,"229 Great Portland Street, Fitzrovia, London, W1W ",City Of Westminster,229 Great Portland,Westminster,www.229thevenue.com,,E09000033,West End,E05013808,51.52272599989418,-0.14375000005833038,528876.9167,182055.9737999998
Gladstone Arms,64 Lant Street,Southwark,64 Lant Street,Southwark,www.thegladpub.co.uk,200000000000,E09000028,Chaucer,E05011098,51.50029999973719,-0.09353001444927675,532425.7120000003,179651.7541000005
Jazz After Dark,9 Greek Street,Soho,9 Greek Street,Camden,http://www.jazzafterdark.co.uk/,10033551268,E09000007,Holborn & Covent Garden,E05013662,51.51398237929712,-0.1294302327971531,529895.1588000003,181108.96759999916
Notting Hill Arts Club,21 Notting Hill Gate; Notting Hill; London W11 3JQ,Kensington And Chelsea,19-21 Notting Hill,Kensington and Chelsea,www.nottinghillartsclub.com,217059366,E09000020,Campden,E05009390,51.509375999851855,-0.19455000005533532,525389.5062999995,180483.2617000006
Piano Works,113-117 Farringdon Rd,,,Islington,https://www.pianoworks.bar,10012787103,E09000019,Clerkenwell,E05013702,51.52235584939195,-0.10648158333932121,531463.3271000003,182081.0435000006
Red Room (Ealing Jazz Club),42a The Broadway,,,Ealing,www.ealingclub.com/,12133012,E09000009,Ealing Broadway,E05013520,51.51390359964037,-0.30094467605709874,517994.8629999999,180810.05150000006
Roadtrip And The Workshop,243 Old Street,Hackney,,Hackney,www.roadtripbar.com,100000000000,E09000012,Hoxton East & Shoreditch,E05009377,51.52615589984313,-0.08241885125872227,533121.5016000001,182547.10510000028
Roundhouse,Chalk Farm Road,Chalk Farm,Chalk Farm Road Ca,Camden,www.roundhouse.org.uk/,,E09000007,Camden Town,E05013655,51.542816999908226,-0.14853799931925527,528488.2063999996,184281.70710000023
Shacklewell Arms,71 Shaclewell Lane,Hackney,71 Shacklewell Lan,Hackney,www.shacklewellarms.com,10091775225,E09000012,Shacklewell,E05009382,51.552399999219965,-0.0698785653744769,533914.3653999995,185488.42669999972
Slaughtered Lamb,34-35 Great Sutton Street,Islington,,Islington,www.theslaughteredlambpub.com,10008975751,E09000019,Bunhill,E05013699,51.522803089049305,-0.09965823546660667,531935.3794999998,182143.0460000001
Betsey Trotwood (The),56 Farringdon Road,,,Islington,https://www.thebetsey.com/,5300032921,E09000019,Clerkenwell,E05013702,51.52284992965968,-0.1064466671473068,531464.3268999998,182136.0482999999
George Tavern (The),373 Commercial Road,,,Tower Hamlets,http://thegeorgetavern.co.uk/,6027924,E09000030,Shadwell,E05009332,51.513825279509675,-0.05129772260602482,535316.7454000004,181233.00100000016
Harrison (The),28 Harrison Street,,,Camden,https://harrisonbar.co.uk/,5058943,E09000007,King's Cross,E05013666,51.527053669672775,-0.11897472154679185,530583.2253999999,182581.09589999914
Jazz Cafe,5-7 Parkway London,,,Camden,https://thejazzcafelondon.com/,5048630,E09000007,Camden Town,E05013655,51.53815066963727,-0.14147655007259097,528991.0396999996,183775.21829999983
Lexington (The),96-98 Pentonville Road,,,Islington,https://www.thelexington.co.uk/,5300073232,E09000019,Clerkenwell,E05013702,51.531259569459046,-0.10983234842007418,531205.2922999999,183065.13419999927
Macbeth (The),70 Hoxton St,,,Hackney,https://www.themacbeth.co.uk/,100000000000,E09000012,Hoxton East & Shoreditch,E05009377,51.529634209147005,-0.07843718341750147,533387.5256000003,182941.15139999986
Social (The),5 Little Portland St,,,Westminster,https://www.thesocial.com/,100000000000,E09000033,West End,E05013808,51.51688129928593,-0.13922897063638612,529207.0805000002,181414.00039999932
Spice Of Life (The),6 Moor Street,City Of Westminster,,Westminster,https://www.spiceoflifesoho.com,100000000000,E09000033,St James's,E05013806,51.512910139119334,-0.1281769251036122,529985.1697000004,180991.9567000009
Underworld,174 Camden High Street,,,Camden,https://www.theunderworldcamden.co.uk,5048636,E09000007,St Pancras & Somers Town,E05013669,51.53868200966884,-0.1403876809816877,529065.0477999998,183836.2223000005
Water Rats,328 Grays Inn Rd,Kings Cross,,Camden,https://www.thewaterratsvenue.london/,5021978,E09000007,King's Cross,E05013666,51.52855500939381,-0.11781701031550228,530659.233,182750.1104000006
Tooting Tram And Social,46-48 Mitcham Road; Tooting; London SW17 9NA; Unit,,46-48 Mitcham Rd,Wandsworth,https://www.tootingtramandsocial.co.uk,,E09000032,Tooting Broadway,E05014024,51.42676799976888,-0.16648799984391746,527566.7246000003,171345.57349999994
The Oval (Formerly The Oval Tavern),130 Oval Road,Croydon,,Croydon,www.theovaltavern.co.uk,100000000000,E09000008,Addiscombe West,E05011463,51.37780103910407,-0.08603939534805966,533301.5050999997,166043.40579999983
Leytonstone Ex-Servicemens Club,2 Harvey Road,Waltham Forest,2 Harvey Road,Waltham Forest,www.leytonstonesocial.club,100000000000,E09000031,Leytonstone,E05013897,51.566867869632716,0.013254244108125581,539633.2731999997,187252.6258000005
Beehive (The),104 Empson Street,,,Tower Hamlets,N/A,6072864,E09000030,Bromley South,E05009322,51.5211171290525,-0.012061755567996489,538017.0290000001,182117.0457000006
St John At Hackney Church,St. John At Hackney Church,Lower Clapton Road,,Hackney,https://saint.church/,10091775145,E09000012,Homerton,E05009376,51.54869170923924,-0.05172650841056855,535183.7319999998,185109.44830000028
Queen Of Hoxton,1-5 Curtain Road; Hoxton; London EC2A 3JX; United ,Hackney,1 Curtain Road,Hackney,www.queenofhoxton.com/,,E09000012,Hoxton East & Shoreditch,E05009377,51.52217499910797,-0.08142800068863564,533201.8448000001,182106.2263999991
Strongroom,120-124 Curtain Road,Shoreditch,,Hackney,https://www.strongroombar.com/,0,E09000012,Hoxton East & Shoreditch,E05009377,51.525499309378745,-0.07853880623660536,533392.5582999997,182481.1587000005
Fighting Cocks Bar And Venue (The),56 Old London Road,Kingston Upon Thames,,Kingston upon Thames,https://www.the-fighting-cocks.co.uk/,100000000000,E09000021,Kingston Town,E05013938,51.410155029913575,-0.29659669461104243,518564.92640000023,169279.85789999925
Waiting Room,175 Stoke Newington High St,Stoke Newington,,Hackney,https://threecrownsn16.com/index.php/gigs/,100000000000,E09000012,Stoke Newington,E05009385,51.56155872922796,-0.07224325053963365,533723.6122000003,186502.56519999914
Finsbury (The),336 Green Lanes,Harringay,,Hackney,https://www.thefinsbury.co.uk/,100000000000,E09000012,Woodberry Down,E05009387,51.57144051933811,-0.09468601430404226,532139.4430999998,187560.62600000016
